userName,score,at,content,label
gaming 4 1 2,5,2023-09-25 21:48:49,"Aplikasi ini sebenarnya sudah sangat bagus dan sudah bisa menyimpan percakapan juga, tapi saran saya tolong untuk tampilan dari percakapannya dibuat mirip dengan yang ada di versi website, termasuk pemisahan baris kata per kata, untuk selebihnya sudah okeThis application is actually very good and can save conversations too, but my suggestion is to make the display of the conversation similar to the one on the website version, including separating lines of words.",Positive
Ya Udah,5,2023-07-28 16:01:17,"Mohon tambahkan dan samakan fitur seperti di web, kayak fitur edit pesan yang dikirim dan riwayat edit pesan sebelumnya. Untuk chat tersimpan, saat dibuka harap langsung saja pergi ke chat paling bawah dengan cepat tanpa di muat dahulu (lazy load), dan mohon untuk chat tersimpan ditaruh di app drawer saja seperti di web. Tingkatkan lagi agar aplikasi semakin stabil dan berfitur sama dengan kemampuan ChatGPT, sekian ☺️",Positive
Farhan Febriyanto,5,2023-07-28 04:33:06,"Aplikasi ChatGPT sangat mengagumkan! Kemampuan AI nya untuk memahami pertanyaan dan memberikan jawaban yang relevan sangat luar biasa. Saya suka bagaimana ia dapat membantu dalam berbagai topik, dari edukasi hingga hiburan. Desain antarmuka yang intuitif juga membuat penggunaan aplikasi ini sangat mudah dan menyenangkan. Selain itu, pengalaman berbicara dengan ChatGPT terasa seperti berbicara dengan teman pintar yang selalu siap membantu. Sungguh aplikasi yang hebat! 👍",Positive
abdul hakim,4,2023-09-20 19:49:34,"Biasa aja, jawaban secara umum doang... kirain lebih mendalam sampai hal yanb tidak diketahui, apa yang di input ke program yah itu yang akan muncul sebagai jawaban (tidak ada yang spesial) tapi lumayan buat cari informasi buat yang malas buka2 browser atau tiktok penuh musik berisik joget2",Positive
imsuyuti,1,2023-10-04 09:39:43,"Jadi gw baru aja coba langganan GPT-4 yang katanya kece badai, tapi ternyata masih ada versi gratisan GPT-3.5 yang hasilnya sama aja kaya yang baru. Gak ada beda yang bener-bener keliatan sih, cuma ada beberapa fitur baru yang menurut gw gak sebanding sama duit yang udah keluar. Jadi menurut gw, gak worth it banget deh. Malah mending coba Bing atau Bard, soalnya GPT-4 ini gak se-wow yang diceritain media-media. Gak sesuai ekspektasi gw banget!",Negative
Riantomen Bocel,5,2023-08-11 19:32:24,Sangat berguna dan bermanfaat Sudah saya coba dan bekerja dengan semestinya Semoga untuk pengguna gratisan seperti saya terus bisa menikmati fiturnya Walau tidak ada penambahan fitur setidaknya fiturnya tetap sama seperti sekarang Kalau bisa sih ada tambahan teks ke gambar Tapi begini saja sudah cukup Terimakasih,Positive
RIYAN,5,2023-07-28 07:37:46,"Aplikasi CHATGPT adalah aplikasi chatbot AI yang interaktif dan mudah diakses, dengan adanya aplikasi ini kita dimudahkan untuk bisa mengakses dengan cepat dan efisien, tampilan aplikasi ini sangat sederhana, intuitif, dan menarik. Semoga kedepannya lebih baik lagi. 👍",Positive
"Arifhin, Tamin",5,2023-08-17 13:12:47,Suka banget sama aplikasinya. Hasil yang ditampilkan dari pertanyaannya sangat akurat 95%. Dapat mempermudah dalam pengerjaan ringkasan dan opini2 yg kadang simpang siur. Thank u untuk aplikasinya.,Positive
019_Ichsanudin Sastra,5,2023-08-13 18:45:59,"Overall good, apk ringan, sangat membantu dan sangat mudah untuk dioperasikan. Mudah²an dimasa yg akan datang ChatGPT dapat mengimput opsi lain seperti gambar atau video.",Positive
Nurul Hikmah,5,2023-09-05 20:08:31,"KEREEEEEN LOVE YOU SO MUCH. sebagai orang yg suka banyak nanya dan suka yg to the point penjelasannya, gua merasa sangat amat terbantu dengan kehadiran ni aplikasi. LOVE YOUUUUUUUUUU semoga nih AI bisa menampilkan gambar juga jadi ga hanya teks aja",Positive
