userName,score,at,content,Label,text_clean,text_StopWord,text_tokens,text_steamindo
gaming 4 1 2,5,2023-09-25 21:48:49,"Aplikasi ini sebenarnya sudah sangat bagus dan sudah bisa menyimpan percakapan juga, tapi saran saya tolong untuk tampilan dari percakapannya dibuat mirip dengan yang ada di versi website, termasuk pemisahan baris kata per kata, untuk selebihnya sudah okeThis application is actually very good and can save conversations too, but my suggestion is to make the display of the conversation similar to the one on the website version, including separating lines of words.",Positive,aplikasi ini sebenarnya sudah sangat bagus dan sudah bisa menyimpan percakapan juga tapi saran saya tolong untuk tampilan dari percakapannya dibuat mirip dengan yang ada di versi website termasuk pemisahan baris kata per kata untuk selebihnya sudah okethis application is actually very good and can save conversations too but my suggestion is to make the display of the conversation similar to the one on the website version including separating lines of words,aplikasi bagus menyimpan percakapan saran tolong tampilan percakapannya versi website pemisahan baris selebihnya okethis application is actually very good and can save conversations too but my suggestion is to make the display of the conversation similar to the one on the website version including separating lines of words,"['aplikasi', 'bagus', 'menyimpan', 'percakapan', 'saran', 'tolong', 'tampilan', 'percakapannya', 'versi', 'website', 'pemisahan', 'baris', 'selebihnya', 'okethis', 'application', 'is', 'actually', 'very', 'good', 'and', 'can', 'save', 'conversations', 'too', 'but', 'my', 'suggestion', 'is', 'to', 'make', 'the', 'display', 'of', 'the', 'conversation', 'similar', 'to', 'the', 'one', 'on', 'the', 'website', 'version', 'including', 'separating', 'lines', 'of', 'words']",aplikasi bagus simpan cakap saran tolong tampil cakap versi website pisah baris lebih okethis application is actually very good and can save conversations too but my suggestion is to make the display of the conversation similar to the one on the website version including separating les of words
Ya Udah,5,2023-07-28 16:01:17,"Mohon tambahkan dan samakan fitur seperti di web, kayak fitur edit pesan yang dikirim dan riwayat edit pesan sebelumnya. Untuk chat tersimpan, saat dibuka harap langsung saja pergi ke chat paling bawah dengan cepat tanpa di muat dahulu (lazy load), dan mohon untuk chat tersimpan ditaruh di app drawer saja seperti di web. Tingkatkan lagi agar aplikasi semakin stabil dan berfitur sama dengan kemampuan ChatGPT, sekian ☺️",Positive,mohon tambahkan dan samakan fitur seperti di web kayak fitur edit pesan yang dikirim dan riwayat edit pesan sebelumnya untuk chat tersimpan saat dibuka harap langsung saja pergi ke chat paling bawah dengan cepat tanpa di muat dahulu lazy load dan mohon untuk chat tersimpan ditaruh di app drawer saja seperti di web tingkatkan lagi agar aplikasi semakin stabil dan berfitur sama dengan kemampuan chatgpt sekian ,mohon tambahkan samakan fitur web kayak fitur edit pesan dikirim riwayat edit pesan chat tersimpan dibuka harap langsung pergi chat cepat muat lazy load mohon chat tersimpan ditaruh app drawer web tingkatkan aplikasi stabil berfitur kemampuan chatgpt sekian,"['mohon', 'tambahkan', 'samakan', 'fitur', 'web', 'kayak', 'fitur', 'edit', 'pesan', 'dikirim', 'riwayat', 'edit', 'pesan', 'chat', 'tersimpan', 'dibuka', 'harap', 'langsung', 'pergi', 'chat', 'cepat', 'muat', 'lazy', 'load', 'mohon', 'chat', 'tersimpan', 'ditaruh', 'app', 'drawer', 'web', 'tingkatkan', 'aplikasi', 'stabil', 'berfitur', 'kemampuan', 'chatgpt', 'sekian']",mohon tambah sama fitur web kayak fitur edit pesan kirim riwayat edit pesan chat simpan buka harap langsung pergi chat cepat muat lazy load mohon chat simpan taruh app drawer web tingkat aplikasi stabil berfitur mampu chatgpt sekian
Farhan Febriyanto,5,2023-07-28 04:33:06,"Aplikasi ChatGPT sangat mengagumkan! Kemampuan AI nya untuk memahami pertanyaan dan memberikan jawaban yang relevan sangat luar biasa. Saya suka bagaimana ia dapat membantu dalam berbagai topik, dari edukasi hingga hiburan. Desain antarmuka yang intuitif juga membuat penggunaan aplikasi ini sangat mudah dan menyenangkan. Selain itu, pengalaman berbicara dengan ChatGPT terasa seperti berbicara dengan teman pintar yang selalu siap membantu. Sungguh aplikasi yang hebat! 👍",Positive,aplikasi chatgpt sangat mengagumkan kemampuan ai nya untuk memahami pertanyaan dan memberikan jawaban yang relevan sangat luar biasa saya suka bagaimana ia dapat membantu dalam berbagai topik dari edukasi hingga hiburan desain antarmuka yang intuitif juga membuat penggunaan aplikasi ini sangat mudah dan menyenangkan selain itu pengalaman berbicara dengan chatgpt terasa seperti berbicara dengan teman pintar yang selalu siap membantu sungguh aplikasi yang hebat ,aplikasi chatgpt mengagumkan kemampuan ai nya memahami relevan suka membantu topik edukasi hiburan desain antarmuka intuitif penggunaan aplikasi mudah menyenangkan pengalaman berbicara chatgpt berbicara teman pintar membantu sungguh aplikasi hebat,"['aplikasi', 'chatgpt', 'mengagumkan', 'kemampuan', 'ai', 'nya', 'memahami', 'relevan', 'suka', 'membantu', 'topik', 'edukasi', 'hiburan', 'desain', 'antarmuka', 'intuitif', 'penggunaan', 'aplikasi', 'mudah', 'menyenangkan', 'pengalaman', 'berbicara', 'chatgpt', 'berbicara', 'teman', 'pintar', 'membantu', 'sungguh', 'aplikasi', 'hebat']",aplikasi chatgpt kagum mampu ai nya paham relevan suka bantu topik edukasi hibur desain antarmuka intuitif guna aplikasi mudah senang alam bicara chatgpt bicara teman pintar bantu sungguh aplikasi hebat
abdul hakim,4,2023-09-20 19:49:34,"Biasa aja, jawaban secara umum doang... kirain lebih mendalam sampai hal yanb tidak diketahui, apa yang di input ke program yah itu yang akan muncul sebagai jawaban (tidak ada yang spesial) tapi lumayan buat cari informasi buat yang malas buka2 browser atau tiktok penuh musik berisik joget2",Positive,biasa aja jawaban secara umum doang kirain lebih mendalam sampai hal yanb tidak diketahui apa yang di input ke program yah itu yang akan muncul sebagai jawaban tidak ada yang spesial tapi lumayan buat cari informasi buat yang malas buka browser atau tiktok penuh musik berisik joget,aja doang kirain mendalam yanb input program yah muncul spesial lumayan cari informasi malas buka browser tiktok penuh musik berisik joget,"['aja', 'doang', 'kirain', 'mendalam', 'yanb', 'input', 'program', 'yah', 'muncul', 'spesial', 'lumayan', 'cari', 'informasi', 'malas', 'buka', 'browser', 'tiktok', 'penuh', 'musik', 'berisik', 'joget']",aja doang kirain dalam yanb input program yah muncul spesial lumayan cari informasi malas buka browser tiktok penuh musik berisik joget
imsuyuti,1,2023-10-04 09:39:43,"Jadi gw baru aja coba langganan GPT-4 yang katanya kece badai, tapi ternyata masih ada versi gratisan GPT-3.5 yang hasilnya sama aja kaya yang baru. Gak ada beda yang bener-bener keliatan sih, cuma ada beberapa fitur baru yang menurut gw gak sebanding sama duit yang udah keluar. Jadi menurut gw, gak worth it banget deh. Malah mending coba Bing atau Bard, soalnya GPT-4 ini gak se-wow yang diceritain media-media. Gak sesuai ekspektasi gw banget!",Negative,jadi gw baru aja coba langganan gpt yang katanya kece badai tapi ternyata masih ada versi gratisan gpt yang hasilnya sama aja kaya yang baru gak ada beda yang benerbener keliatan sih cuma ada beberapa fitur baru yang menurut gw gak sebanding sama duit yang udah keluar jadi menurut gw gak worth it banget deh malah mending coba bing atau bard soalnya gpt ini gak sewow yang diceritain mediamedia gak sesuai ekspektasi gw banget,gw aja coba langganan gpt kece badai versi gratisan gpt hasilnya aja kaya gak beda benerbener keliatan sih fitur gw gak sebanding duit udah gw gak worth it banget deh mending coba bing bard gpt gak sewow diceritain mediamedia gak sesuai ekspektasi gw banget,"['gw', 'aja', 'coba', 'langganan', 'gpt', 'kece', 'badai', 'versi', 'gratisan', 'gpt', 'hasilnya', 'aja', 'kaya', 'gak', 'beda', 'benerbener', 'keliatan', 'sih', 'fitur', 'gw', 'gak', 'sebanding', 'duit', 'udah', 'gw', 'gak', 'worth', 'it', 'banget', 'deh', 'mending', 'coba', 'bing', 'bard', 'gpt', 'gak', 'sewow', 'diceritain', 'mediamedia', 'gak', 'sesuai', 'ekspektasi', 'gw', 'banget']",gw aja coba langgan gpt kece badai versi gratis gpt hasil aja kaya gak beda benerbener liat sih fitur gw gak banding duit udah gw gak worth it banget deh mending coba bing bard gpt gak sewow diceritain mediamedia gak sesuai ekspektasi gw banget
Riantomen Bocel,5,2023-08-11 19:32:24,Sangat berguna dan bermanfaat Sudah saya coba dan bekerja dengan semestinya Semoga untuk pengguna gratisan seperti saya terus bisa menikmati fiturnya Walau tidak ada penambahan fitur setidaknya fiturnya tetap sama seperti sekarang Kalau bisa sih ada tambahan teks ke gambar Tapi begini saja sudah cukup Terimakasih,Positive,sangat berguna dan bermanfaat sudah saya coba dan bekerja dengan semestinya semoga untuk pengguna gratisan seperti saya terus bisa menikmati fiturnya walau tidak ada penambahan fitur setidaknya fiturnya tetap sama seperti sekarang kalau bisa sih ada tambahan teks ke gambar tapi begini saja sudah cukup terimakasih,berguna bermanfaat coba semestinya semoga pengguna gratisan menikmati fiturnya penambahan fitur fiturnya sih tambahan teks gambar terimakasih,"['berguna', 'bermanfaat', 'coba', 'semestinya', 'semoga', 'pengguna', 'gratisan', 'menikmati', 'fiturnya', 'penambahan', 'fitur', 'fiturnya', 'sih', 'tambahan', 'teks', 'gambar', 'terimakasih']",guna manfaat coba mesti moga guna gratis nikmat fiturnya tambah fitur fiturnya sih tambah teks gambar terimakasih
RIYAN,5,2023-07-28 07:37:46,"Aplikasi CHATGPT adalah aplikasi chatbot AI yang interaktif dan mudah diakses, dengan adanya aplikasi ini kita dimudahkan untuk bisa mengakses dengan cepat dan efisien, tampilan aplikasi ini sangat sederhana, intuitif, dan menarik. Semoga kedepannya lebih baik lagi. 👍",Positive,aplikasi chatgpt adalah aplikasi chatbot ai yang interaktif dan mudah diakses dengan adanya aplikasi ini kita dimudahkan untuk bisa mengakses dengan cepat dan efisien tampilan aplikasi ini sangat sederhana intuitif dan menarik semoga kedepannya lebih baik lagi ,aplikasi chatgpt aplikasi chatbot ai interaktif mudah diakses aplikasi dimudahkan mengakses cepat efisien tampilan aplikasi sederhana intuitif menarik semoga kedepannya,"['aplikasi', 'chatgpt', 'aplikasi', 'chatbot', 'ai', 'interaktif', 'mudah', 'diakses', 'aplikasi', 'dimudahkan', 'mengakses', 'cepat', 'efisien', 'tampilan', 'aplikasi', 'sederhana', 'intuitif', 'menarik', 'semoga', 'kedepannya']",aplikasi chatgpt aplikasi chatbot ai interaktif mudah akses aplikasi mudah akses cepat efisien tampil aplikasi sederhana intuitif tarik moga depan
"Arifhin, Tamin",5,2023-08-17 13:12:47,Suka banget sama aplikasinya. Hasil yang ditampilkan dari pertanyaannya sangat akurat 95%. Dapat mempermudah dalam pengerjaan ringkasan dan opini2 yg kadang simpang siur. Thank u untuk aplikasinya.,Positive,suka banget sama aplikasinya hasil yang ditampilkan dari pertanyaannya sangat akurat  dapat mempermudah dalam pengerjaan ringkasan dan opini yg kadang simpang siur thank u untuk aplikasinya,suka banget aplikasinya hasil ditampilkan pertanyaannya akurat mempermudah pengerjaan ringkasan opini yg kadang simpang siur thank u aplikasinya,"['suka', 'banget', 'aplikasinya', 'hasil', 'ditampilkan', 'pertanyaannya', 'akurat', 'mempermudah', 'pengerjaan', 'ringkasan', 'opini', 'yg', 'kadang', 'simpang', 'siur', 'thank', 'u', 'aplikasinya']",suka banget aplikasi hasil tampil tanya akurat mudah kerja ringkas opini yg kadang simpang siur thank u aplikasi
019_Ichsanudin Sastra,5,2023-08-13 18:45:59,"Overall good, apk ringan, sangat membantu dan sangat mudah untuk dioperasikan. Mudah²an dimasa yg akan datang ChatGPT dapat mengimput opsi lain seperti gambar atau video.",Positive,overall good apk ringan sangat membantu dan sangat mudah untuk dioperasikan mudahan dimasa yg akan datang chatgpt dapat mengimput opsi lain seperti gambar atau video,overall good apk ringan membantu mudah dioperasikan mudahan dimasa yg chatgpt mengimput opsi gambar video,"['overall', 'good', 'apk', 'ringan', 'membantu', 'mudah', 'dioperasikan', 'mudahan', 'dimasa', 'yg', 'chatgpt', 'mengimput', 'opsi', 'gambar', 'video']",overall good apk ringan bantu mudah operasi mudah masa yg chatgpt kimput opsi gambar video
Nurul Hikmah,5,2023-09-05 20:08:31,"KEREEEEEN LOVE YOU SO MUCH. sebagai orang yg suka banyak nanya dan suka yg to the point penjelasannya, gua merasa sangat amat terbantu dengan kehadiran ni aplikasi. LOVE YOUUUUUUUUUU semoga nih AI bisa menampilkan gambar juga jadi ga hanya teks aja",Positive,kereeeeen love you so much sebagai orang yg suka banyak nanya dan suka yg to the point penjelasannya gua merasa sangat amat terbantu dengan kehadiran ni aplikasi love youuuuuuuuuu semoga nih ai bisa menampilkan gambar juga jadi ga hanya teks aja,kereeeeen love you so much orang yg suka nanya suka yg to the point penjelasannya gua terbantu kehadiran ni aplikasi love youuuuuuuuuu semoga nih ai menampilkan gambar ga teks aja,"['kereeeeen', 'love', 'you', 'so', 'much', 'orang', 'yg', 'suka', 'nanya', 'suka', 'yg', 'to', 'the', 'point', 'penjelasannya', 'gua', 'terbantu', 'kehadiran', 'ni', 'aplikasi', 'love', 'youuuuuuuuuu', 'semoga', 'nih', 'ai', 'menampilkan', 'gambar', 'ga', 'teks', 'aja']",kereeeeen love you so much orang yg suka nanya suka yg to the point jelas gua bantu hadir ni aplikasi love youuuuuuuuuu moga nih ai tampil gambar ga teks aja
